Row #,Taxon Order,Category,Common Name,Scientific Name,Count,Location,S/P,Date,LocID,SubID,Exotic,Countable
685,19724,species,Yellow-breasted Boatbill,Machaerirhynchus flaviventer,1,West Waigeo Nature Reserve,ID-IJ,05 Aug 2025,L3856887,S268357081,,1
686,18437,species,Fairy Gerygone,Gerygone palpebrosa,1,West Waigeo Nature Reserve,ID-IJ,05 Aug 2025,L3856887,S268357081,,1
687,18424,species,Yellow-bellied Gerygone,Gerygone chrysogaster,3,West Waigeo Nature Reserve,ID-IJ,05 Aug 2025,L3856887,S268357081,,1
688,10262,species,Common Paradise Kingfisher,Tanysiptera galatea,4,West Waigeo Nature Reserve,ID-IJ,05 Aug 2025,L3856887,S268357081,,1
689,9985,species,Papuan Dwarf Kingfisher,Ceyx solitarius,1,West Waigeo Nature Reserve,ID-IJ,05 Aug 2025,L3856887,S268357081,,1
690,834,species,Dusky Megapode,Megapodius freycinet,2,West Waigeo Nature Reserve,ID-IJ,05 Aug 2025,L3856887,S268357081,,1
691,23817,species,Friendly Bush Warbler,Locustella accentor,4,Kinabalu Park--Swine Hill,MY-12,05 Aug 2025,L21292565,S290982767,,1
692,2460,species,Western Crowned Pigeon,Goura cristata,3,West Waigeo Nature Reserve,ID-IJ,04 Aug 2025,L3856887,S268357089,,1
693,28583,species,藏乌鸫,Turdus maximus,10,罗布林卡 (Norbulingka),CN-54,04 Aug 2025,L4575611,S286082813,,1
694,26821,species,大草鹛,Pterorhinus waddelli,1,罗布林卡 (Norbulingka),CN-54,04 Aug 2025,L4575611,S286082813,,1
695,21676,species,Yellow-bellied Longbill,Toxorhamphus novaeguineae,1,West Waigeo Nature Reserve,ID-IJ,04 Aug 2025,L3856887,S268357100,,1
696,12268,species,Moluccan King Parrot,Alisterus amboinensis,3,"Waisai, Raja Ampat ID-West Papua -0.40750, 130.78602",ID-IJ,04 Aug 2025,L51037469,S268357113,,1
697,12663,species,Violet-necked Lory,Trichoglossus squamatus,1,"Waisai, Raja Ampat ID-West Papua -0.41510, 130.78159",ID-IJ,04 Aug 2025,L50918107,S268357128,,1
698,29157,species,Indochinese Blue Flycatcher,Cyornis sumatrensis,1,Khao Luang NP--Chet's hide (restricted access),TH-80,04 Aug 2025,L19735328,S268375897,,1
699,24495,species,Olive Bulbul,Iole viridescens,3,Khao Luang NP--Chet's hide (restricted access),TH-80,04 Aug 2025,L19735328,S268375897,,1
700,9740,species,Plain-pouched Hornbill,Rhyticeros subruficollis,40,Khao Luang NP--Chet's hide (restricted access),TH-80,04 Aug 2025,L19735328,S268375897,,1
701,9388,species,Papuan Boobook,Ninox theomacha,1,"Waisai, Raja Ampat ID-West Papua -0.41940, 130.77583",ID-IJ,03 Aug 2025,L50934638,S268357154,,1
702,8151,species,Collared Sparrowhawk,Tachyspiza cirrocephala,1,"Waisai, Raja Ampat ID-West Papua -0.42046, 130.79932",ID-IJ,03 Aug 2025,L50931588,S268357162,,1
703,3772,species,Marbled Frogmouth,Podargus ocellatus,2,"Waisai, Raja Ampat ID-West Papua -0.42046, 130.79932",ID-IJ,03 Aug 2025,L50931588,S268357162,,1
704,3540,species,Lyre-tailed Nightjar,Uropsalis lyra,2,Carretera Satipo--Calabaza,PE-JUN,03 Aug 2025,L8113800,S293055230,,1
705,12568,species,Red-flanked Lorikeet,Hypocharmosyna placentis,4,"Waisai, Raja Ampat ID-West Papua -0.42430, 130.77700",ID-IJ,03 Aug 2025,L50925622,S264645824,,1
706,2142,species,Great Cuckoo-Dove,Reinwardtoena reinwardti,1,"Waisai, Raja Ampat ID-West Papua -0.42430, 130.77700",ID-IJ,03 Aug 2025,L50925622,S264645824,,1
707,26115,species,Grey-headed Babbler,Stachyris poliocephala,2,Khao Luang NP--Krung Ching Waterfall trail & campground,TH-80,03 Aug 2025,L1172289,S268375898,,1
709,8322,species,Cinereous Harrier,Circus cinereus,1,"Auto selected -11.54851, -74.95186",PE-JUN,03 Aug 2025,L50989979,S293055229,,1
710,17092,species,Ochre-naped Ground Tyrant,Muscisaxicola flavinucha,1,Laguna Pomacocha,PE-JUN,03 Aug 2025,L4813308,S293055228,,1
711,17091,species,White-fronted Ground Tyrant,Muscisaxicola albifrons,1,Laguna Pomacocha,PE-JUN,03 Aug 2025,L4813308,S293055228,,1
712,17047,species,Andean Negrito,Lessonia oreas,3,Laguna Pomacocha,PE-JUN,03 Aug 2025,L4813308,S293055228,,1
713,14580,species,Common Miner,Geositta cunicularia,1,Laguna Pomacocha,PE-JUN,03 Aug 2025,L4813308,S293055228,,1
714,6821,species,White-tufted Grebe,Rollandia rolland,5,Laguna Pomacocha,PE-JUN,03 Aug 2025,L4813308,S293055228,,1
715,484,species,Puna Teal,Spatula puna,1,Laguna Pomacocha,PE-JUN,03 Aug 2025,L4813308,S293055228,,1
716,21168,species,Southern White-crowned Shrike,Eurocephalus anguitimens,1,Khwai--Machaba Camp,BW-NW,03 Aug 2025,L8863757,S268450673,,1
717,5712,species,Wattled Crane,Grus carunculatus,2,Khwai--Machaba Camp,BW-NW,03 Aug 2025,L8863757,S268450673,,1
718,26166,species,Moustached Babbler,Malacopteron magnirostre,2,Khao Luang NP--Krung Ching Waterfall trail & campground,TH-80,03 Aug 2025,L1172289,S268375899,,1
719,19614,species,Dark-throated Oriole,Oriolus xanthonotus,1,Khao Luang NP--Krung Ching Waterfall trail & campground,TH-80,03 Aug 2025,L1172289,S268375899,,1
720,13366,species,Malayan Banded Pitta,Hydrornis irena,1,Khao Luang NP--Krung Ching Waterfall trail & campground,TH-80,03 Aug 2025,L1172289,S268375899,,1
721,12724,species,Orange-fronted Hanging Parrot,Loriculus aurantiifrons,1,Warkesi Forest Park,ID-IJ,03 Aug 2025,L27826380,S264613291,,1
722,3294,species,Channel-billed Cuckoo,Scythrops novaehollandiae,1,Warkesi Forest Park,ID-IJ,03 Aug 2025,L27826380,S264613291,,1
723,2684,species,Pink-spotted Fruit Dove,Ptilinopus perlatus,3,Warkesi Forest Park,ID-IJ,03 Aug 2025,L27826380,S264613291,,1
724,468,species,Torrent Duck,Merganetta armata,2,"Auto selected -12.00193, -75.11847",PE-JUN,02 Aug 2025,L50915208,S293055227,,1
725,7488,species,Andean Ibis,Theristicus branickii,2,"Auto selected -11.98580, -75.10222",PE-JUN,02 Aug 2025,L50915223,S293055226,,1
726,629,species,Yellow-billed Teal,Anas flavirostris,2,"Auto selected -11.98580, -75.10222",PE-JUN,02 Aug 2025,L50915223,S293055226,,1
727,21602,species,Torresian Crow,Corvus orru,2,Airport Bay (Waigeo),ID-IJ,02 Aug 2025,L6477000,S264368689,,1
728,12413,species,Great-billed Parrot,Tanygnathus megalorynchos,3,Airport Bay (Waigeo),ID-IJ,02 Aug 2025,L6477000,S264368689,,1
729,7498,species,Australian White Ibis,Threskiornis molucca,1,Airport Bay (Waigeo),ID-IJ,02 Aug 2025,L6477000,S264368689,,1
730,3991,species,Mountain Swiftlet,Aerodramus hirundinaceus,1,Airport Bay (Waigeo),ID-IJ,02 Aug 2025,L6477000,S264368689,,1
731,25950,species,Chestnut-winged Babbler,Cyanoderma erythropterum,1,Khao Luang NP--Chet's hide (restricted access),TH-80,02 Aug 2025,L19735328,S287757317,,1
732,35330,species,Masked Flowerpiercer,Diglossa cyanea,1,Pariahuanca (pueblo),PE-JUN,02 Aug 2025,L2460346,S293055224,,1
733,35036,species,Blue-and-black Tanager,Tangara vassorii,1,Pariahuanca (pueblo),PE-JUN,02 Aug 2025,L2460346,S293055224,,1
734,34883,species,Scarlet-bellied Mountain Tanager,Anisognathus igniventris,10,Pariahuanca (pueblo),PE-JUN,02 Aug 2025,L2460346,S293055224,,1
735,34686,species,Black-eared/Western/Piura Hemispingus,Sphenopsis melanotis,1,Pariahuanca (pueblo),PE-JUN,02 Aug 2025,L2460346,S293055224,,1
736,34387,species,Spectacled Whitestart,Myioborus melanocephalus,2,Pariahuanca (pueblo),PE-JUN,02 Aug 2025,L2460346,S293055224,,1
737,33509,species,Black-spectacled Brushfinch,Atlapetes melanopsis,3,Pariahuanca (pueblo),PE-JUN,02 Aug 2025,L2460346,S293055224,,1
739,17194,species,Rufous-breasted Chat-Tyrant,Ochthoeca rufipectoralis,3,Pariahuanca (pueblo),PE-JUN,02 Aug 2025,L2460346,S293055224,,1
740,17170,species,Crowned/Kalinowski's Chat-Tyrant,Silvicultrix frontalis,1,Pariahuanca (pueblo),PE-JUN,02 Aug 2025,L2460346,S293055224,,1
741,16721,species,Sierran Elaenia,Elaenia pallatangae,2,Pariahuanca (pueblo),PE-JUN,02 Aug 2025,L2460346,S293055224,,1
742,16697,species,Highland Elaenia,Elaenia obscura,1,Pariahuanca (pueblo),PE-JUN,02 Aug 2025,L2460346,S293055224,,1
743,16609,species,Tufted Tit-Tyrant,Anairetes parulus,2,Pariahuanca (pueblo),PE-JUN,02 Aug 2025,L2460346,S293055224,,1
744,15893,species,Red-crested Cotinga,Ampelion rubrocristatus,2,Pariahuanca (pueblo),PE-JUN,02 Aug 2025,L2460346,S293055224,,1
746,15511,species,Creamy-crested Spinetail,Cranioleuca albicapilla,2,Pariahuanca (pueblo),PE-JUN,02 Aug 2025,L2460346,S293055224,,1
747,14434,species,Tschudi's Tapaculo,Scytalopus acutirostris,1,Pariahuanca (pueblo),PE-JUN,02 Aug 2025,L2460346,S293055224,,1
748,14421,species,Trilling Tapaculo,Scytalopus parvirostris,1,Pariahuanca (pueblo),PE-JUN,02 Aug 2025,L2460346,S293055224,,1
749,4659,species,Mountain Velvetbreast,Lafresnaya lafresnayi,2,Pariahuanca (pueblo),PE-JUN,02 Aug 2025,L2460346,S293055224,,1
750,4634,species,Violet-throated Starfrontlet,Coeligena violifer,1,Pariahuanca (pueblo),PE-JUN,02 Aug 2025,L2460346,S293055224,,1
751,4604,species,Shining Sunbeam,Aglaeactis cupripennis,1,Pariahuanca (pueblo),PE-JUN,02 Aug 2025,L2460346,S293055224,,1
752,4542,species,Tyrian Metaltail,Metallura tyrianthina,1,Pariahuanca (pueblo),PE-JUN,02 Aug 2025,L2460346,S293055224,,1
753,4408,species,Amethyst-throated Sunangel,Heliangelus amethysticollis,1,Pariahuanca (pueblo),PE-JUN,02 Aug 2025,L2460346,S293055224,,1
754,35620,species,Plain-colored Seedeater,Catamenia inornata,1,"Auto selected -12.01137, -75.17202",PE-JUN,02 Aug 2025,L50915248,S293055223,,1
755,35285,species,Black-throated Flowerpiercer,Diglossa brunneiventris,2,"Auto selected -12.01137, -75.17202",PE-JUN,02 Aug 2025,L50915248,S293055223,,1
756,28677,species,Great Thrush,Turdus fuscater,1,"Auto selected -12.01137, -75.17202",PE-JUN,02 Aug 2025,L50915248,S293055223,,1
757,28425,species,Groundscraper Thrush,Turdus litsitsirupa,1,Makgadikgadi Salt Pans--Camp Kalahari,BW-CE,02 Aug 2025,L8522082,S268450698,,1
758,2954,species,Northern Black Korhaan,Afrotis afraoides,3,Makgadikgadi Salt Pans--Camp Kalahari,BW-CE,02 Aug 2025,L8522082,S268450698,,1
759,2952,species,Red-crested Korhaan,Lophotis ruficrista,2,Makgadikgadi Salt Pans--Camp Kalahari,BW-CE,02 Aug 2025,L8522082,S268450698,,1
761,35376,species,Plumbeous Sierra Finch,Geospizopsis unicolor,6,Valle de Santa Eulalia--Cerro Milloc,PE-LIM,01 Aug 2025,L1312080,S293055222,,1
762,35372,species,Glacier Finch,Idiopsar speculifer,3,Valle de Santa Eulalia--Cerro Milloc,PE-LIM,01 Aug 2025,L1312080,S293055222,,1
763,24139,species,Andean Swallow,Orochelidon andecola,5,Valle de Santa Eulalia--Cerro Milloc,PE-LIM,01 Aug 2025,L1312080,S293055222,,1
764,17208,species,D'Orbigny's Chat-Tyrant,Ochthoeca oenanthoides,1,Valle de Santa Eulalia--Cerro Milloc,PE-LIM,01 Aug 2025,L1312080,S293055222,,1
765,15418,species,Streak-throated Canastero,Asthenes humilis,1,Valle de Santa Eulalia--Cerro Milloc,PE-LIM,01 Aug 2025,L1312080,S293055222,,1
766,15401,species,Junin Canastero,Asthenes virgata,1,Valle de Santa Eulalia--Cerro Milloc,PE-LIM,01 Aug 2025,L1312080,S293055222,,1
767,15112,species,White-bellied Cinclodes,Cinclodes palliatus,2,Valle de Santa Eulalia--Cerro Milloc,PE-LIM,01 Aug 2025,L1312080,S293055222,,1
768,15078,species,Buff-breasted Earthcreeper,Upucerthia validirostris,2,Valle de Santa Eulalia--Cerro Milloc,PE-LIM,01 Aug 2025,L1312080,S293055222,,1
769,14606,species,Dark-winged Miner,Geositta saxicolina,1,Valle de Santa Eulalia--Cerro Milloc,PE-LIM,01 Aug 2025,L1312080,S293055222,,1
770,11974,species,Mountain Caracara,Daptrius megalopterus,2,Valle de Santa Eulalia--Cerro Milloc,PE-LIM,01 Aug 2025,L1312080,S293055222,,1
771,11924,species,Andean Flicker,Colaptes rupicola,3,Valle de Santa Eulalia--Cerro Milloc,PE-LIM,01 Aug 2025,L1312080,S293055222,,1
772,7810,species,Andean Condor,Vultur gryphus,3,Valle de Santa Eulalia--Cerro Milloc,PE-LIM,01 Aug 2025,L1312080,S293055222,,1
773,6882,species,Silvery Grebe,Podiceps occipitalis,35,Valle de Santa Eulalia--Cerro Milloc,PE-LIM,01 Aug 2025,L1312080,S293055222,,1
774,6470,species,Andean Gull,Chroicocephalus serranus,3,Valle de Santa Eulalia--Cerro Milloc,PE-LIM,01 Aug 2025,L1312080,S293055222,,1
775,6110,species,Puna Snipe,Gallinago andina,2,Valle de Santa Eulalia--Cerro Milloc,PE-LIM,01 Aug 2025,L1312080,S293055222,,1
776,5973,species,Grey-breasted Seedsnipe,Thinocorus orbignyianus,1,Valle de Santa Eulalia--Cerro Milloc,PE-LIM,01 Aug 2025,L1312080,S293055222,,1
777,5902,species,Andean Lapwing,Vanellus resplendens,1,Valle de Santa Eulalia--Cerro Milloc,PE-LIM,01 Aug 2025,L1312080,S293055222,,1
778,5824,species,Diademed Sandpiper-Plover,Phegornis mitchellii,1,Valle de Santa Eulalia--Cerro Milloc,PE-LIM,01 Aug 2025,L1312080,S293055222,,1
779,5506,species,Andean Coot,Fulica ardesiaca,1,Valle de Santa Eulalia--Cerro Milloc,PE-LIM,01 Aug 2025,L1312080,S293055222,,1
780,5485,species,Giant Coot,Fulica gigantea,6,Valle de Santa Eulalia--Cerro Milloc,PE-LIM,01 Aug 2025,L1312080,S293055222,,1
781,4522,species,Olivaceous Thornbill,Chalcostigma olivaceum,1,Valle de Santa Eulalia--Cerro Milloc,PE-LIM,01 Aug 2025,L1312080,S293055222,,1
782,780,species,Andean Duck,Oxyura ferruginea,4,Valle de Santa Eulalia--Cerro Milloc,PE-LIM,01 Aug 2025,L1312080,S293055222,,1
783,441,species,Crested Duck,Lophonetta specularioides,6,Valle de Santa Eulalia--Cerro Milloc,PE-LIM,01 Aug 2025,L1312080,S293055222,,1
784,44,species,Puna Tinamou,Tinamotis pentlandii,3,Valle de Santa Eulalia--Cerro Milloc,PE-LIM,01 Aug 2025,L1312080,S293055222,,1
785,35461,species,Bright-rumped Yellow Finch,Sicalis uropygialis,3,Valle de Santa Eulalia--Quebrada Yanac (Polylepis),PE-LIM,01 Aug 2025,L517155,S293055221,,1
786,35385,species,Ash-breasted Sierra Finch,Geospizopsis plebejus,2,Valle de Santa Eulalia--Quebrada Yanac (Polylepis),PE-LIM,01 Aug 2025,L517155,S293055221,,1
787,35248,species,Giant Conebill,Conirostrum binghami,1,Valle de Santa Eulalia--Quebrada Yanac (Polylepis),PE-LIM,01 Aug 2025,L517155,S293055221,,1
788,32655,species,Black Siskin,Spinus atratus,10,Valle de Santa Eulalia--Quebrada Yanac (Polylepis),PE-LIM,01 Aug 2025,L517155,S293055221,,1
789,17087,species,Puna Ground Tyrant,Muscisaxicola juninensis,1,Valle de Santa Eulalia--Quebrada Yanac (Polylepis),PE-LIM,01 Aug 2025,L517155,S293055221,,1
790,15068,species,Striated Earthcreeper,Geocerthia serrana,1,Valle de Santa Eulalia--Quebrada Yanac (Polylepis),PE-LIM,01 Aug 2025,L517155,S293055221,,1
791,14245,species,Stripe-headed Antpitta,Grallaria andicolus,1,Valle de Santa Eulalia--Quebrada Yanac (Polylepis),PE-LIM,01 Aug 2025,L517155,S293055221,,1
792,7471,species,Puna Ibis,Plegadis ridgwayi,4,Valle de Santa Eulalia--Quebrada Yanac (Polylepis),PE-LIM,01 Aug 2025,L517155,S293055221,,1
793,4525,species,Blue-mantled Thornbill,Chalcostigma stanleyi,1,Valle de Santa Eulalia--Quebrada Yanac (Polylepis),PE-LIM,01 Aug 2025,L517155,S293055221,,1
794,4492,species,Black-breasted Hillstar,Oreotrochilus melanogaster,2,Valle de Santa Eulalia--Quebrada Yanac (Polylepis),PE-LIM,01 Aug 2025,L517155,S293055221,,1
795,2302,species,Black-winged Ground Dove,Metriopelia melanoptera,3,Valle de Santa Eulalia--Quebrada Yanac (Polylepis),PE-LIM,01 Aug 2025,L517155,S293055221,,1
796,400,species,Andean Goose,Oressochen melanopterus,10,Valle de Santa Eulalia--Quebrada Yanac (Polylepis),PE-LIM,01 Aug 2025,L517155,S293055221,,1
797,35612,species,Band-tailed Seedeater,Catamenia analis,1,Valle de Santa Eulalia--Desvio a Huachupampa,PE-LIM,01 Aug 2025,L858533,S293055220,,1
798,35467,species,Greenish Yellow Finch,Sicalis olivascens,5,Valle de Santa Eulalia--Desvio a Huachupampa,PE-LIM,01 Aug 2025,L858533,S293055220,,1
799,35344,species,Peruvian Sierra Finch,Phrygilus punensis,1,Valle de Santa Eulalia--Desvio a Huachupampa,PE-LIM,01 Aug 2025,L858533,S293055220,,1
800,32638,species,Hooded Siskin,Spinus magellanicus,5,Valle de Santa Eulalia--Desvio a Huachupampa,PE-LIM,01 Aug 2025,L858533,S293055220,,1
801,17095,species,Rufous-naped Ground Tyrant,Muscisaxicola rufivertex,1,Valle de Santa Eulalia--Desvio a Huachupampa,PE-LIM,01 Aug 2025,L858533,S293055220,,1
802,15442,species,Canyon Canastero,Asthenes pudibunda,2,Valle de Santa Eulalia--Desvio a Huachupampa,PE-LIM,01 Aug 2025,L858533,S293055220,,1
803,15326,species,Rusty-crowned Tit-Spinetail,Leptasthenura pileata,1,Valle de Santa Eulalia--Desvio a Huachupampa,PE-LIM,01 Aug 2025,L858533,S293055220,,1
804,15097,species,Cream-winged Cinclodes,Cinclodes albiventris,3,Valle de Santa Eulalia--Desvio a Huachupampa,PE-LIM,01 Aug 2025,L858533,S293055220,,1
805,4566,species,Black Metaltail,Metallura phoebe,1,Valle de Santa Eulalia--Desvio a Huachupampa,PE-LIM,01 Aug 2025,L858533,S293055220,,1
806,10043,species,Brown-winged Kingfisher,Pelargopsis amauroptera,,Krabi provincial town--mangrove boardwalk,TH-81,01 Aug 2025,L921146,S268375902,,1
807,5578,species,红胸田鸡,Zapornia fusca,1,"保山市, 云南省, CN (25.252, 98.616)",CN-53,31 Jul 2025,L50764507,S268355712,,1
808,35415,species,Mourning Sierra Finch,Rhopospina fruticeti,2,Valle de Santa Eulalia--Valle Superior,PE-LIM,31 Jul 2025,L6052478,S293055219,,1
809,35265,species,Cinereous Conebill,Conirostrum cinereum,1,Valle de Santa Eulalia--Valle Superior,PE-LIM,31 Jul 2025,L6052478,S293055219,,1
810,34920,species,Blue-and-yellow Tanager,Rauenia bonariensis,3,Valle de Santa Eulalia--Valle Superior,PE-LIM,31 Jul 2025,L6052478,S293055219,,1
811,34718,species,Rufous-chested Tanager,Thlypopsis ornata,6,Valle de Santa Eulalia--Valle Superior,PE-LIM,31 Jul 2025,L6052478,S293055219,,1
812,33505,species,Rusty-bellied Brushfinch,Atlapetes nationi,5,Valle de Santa Eulalia--Valle Superior,PE-LIM,31 Jul 2025,L6052478,S293055219,,1
813,17212,species,White-browed Chat-Tyrant,Ochthoeca leucophrys,2,Valle de Santa Eulalia--Valle Superior,PE-LIM,31 Jul 2025,L6052478,S293055219,,1
814,17148,species,Streak-throated Bush Tyrant,Myiotheretes striaticollis,1,Valle de Santa Eulalia--Valle Superior,PE-LIM,31 Jul 2025,L6052478,S293055219,,1
815,16597,species,Pied-crested Tit-Tyrant,Anairetes reguloides,4,Valle de Santa Eulalia--Valle Superior,PE-LIM,31 Jul 2025,L6052478,S293055219,,1
816,12806,species,Mountain Parakeet,Psilopsiagon aurifrons,8,Valle de Santa Eulalia--Valle Superior,PE-LIM,31 Jul 2025,L6052478,S293055219,,1
817,4772,species,Purple-collared Woodstar,Myrtis fanny,2,Valle de Santa Eulalia--Valle Superior,PE-LIM,31 Jul 2025,L6052478,S293055219,,1
818,4770,species,Peruvian Sheartail,Thaumastura cora,2,Valle de Santa Eulalia--Valle Superior,PE-LIM,31 Jul 2025,L6052478,S293055219,,1
819,4718,species,Giant Hummingbird,Patagona gigas,2,Valle de Santa Eulalia--Valle Superior,PE-LIM,31 Jul 2025,L6052478,S293055219,,1
820,4485,species,Bronze-tailed Comet,Polyonymus caroli,2,Valle de Santa Eulalia--Valle Superior,PE-LIM,31 Jul 2025,L6052478,S293055219,,1
821,4354,species,Sparkling Violetear,Colibri coruscans,5,Valle de Santa Eulalia--Valle Superior,PE-LIM,31 Jul 2025,L6052478,S293055219,,1
822,1953,species,Spot-winged Pigeon,Patagioenas maculosa,2,Valle de Santa Eulalia--Valle Superior,PE-LIM,31 Jul 2025,L6052478,S293055219,,1
823,92,species,Andean Tinamou,Nothoprocta pentlandii,1,Valle de Santa Eulalia--Valle Superior,PE-LIM,31 Jul 2025,L6052478,S293055219,,1
824,35452,species,Collared Warbling Finch,Poospiza hispaniolensis,2,Valle de Santa Eulalia--Huinco,PE-LIM,31 Jul 2025,L905412,S293055218,,1
825,35409,species,Great Inca Finch,Incaspiza pulchra,2,Valle de Santa Eulalia--Huinco,PE-LIM,31 Jul 2025,L905412,S293055218,,1
826,28686,species,Chiguanco Thrush,Turdus chiguanco,1,Valle de Santa Eulalia--Huinco,PE-LIM,31 Jul 2025,L905412,S293055218,,1
827,2297,species,Bare-faced Ground Dove,Metriopelia ceciliae,5,Valle de Santa Eulalia--Huinco,PE-LIM,31 Jul 2025,L905412,S293055218,,1
828,9055,species,Pacific Pygmy Owl,Glaucidium peruanum,1,"Auto selected -11.85546, -76.63889",PE-LIM,31 Jul 2025,L50776679,S293055217,,1
829,31422,species,Jameson's Firefinch,Lagonosticta rhodopareia,10,Victoria Falls Rain Forest,ZW-MN,31 Jul 2025,L7905125,S268450753,,1
830,29247,species,Collared Palm Thrush,Cichladusa arquata,1,Victoria Falls Rain Forest,ZW-MN,31 Jul 2025,L7905125,S268450753,,1
831,25708,species,Southern Yellow White-eye,Zosterops anderssoni,5,Victoria Falls Rain Forest,ZW-MN,31 Jul 2025,L7905125,S268450753,,1
832,9704,species,Trumpeter Hornbill,Bycanistes bucinator,5,Victoria Falls Rain Forest,ZW-MN,31 Jul 2025,L7905125,S268450753,,1
833,35525,species,Parrot-billed Seedeater,Sporophila peruviana,3,"Auto selected -11.89368, -76.65633",PE-LIM,31 Jul 2025,L50763956,S293055216,,1
834,34546,species,Golden Grosbeak,Pheucticus chrysogaster,1,"Auto selected -11.89368, -76.65633",PE-LIM,31 Jul 2025,L50763956,S293055216,,1
835,13000,species,Pacific Parrotlet,Forpus coelestis,3,"Auto selected -11.89368, -76.65633",PE-LIM,31 Jul 2025,L50763956,S293055216,N,1
836,11882,species,Black-necked Woodpecker,Colaptes atricollis,2,"Auto selected -11.89368, -76.65633",PE-LIM,31 Jul 2025,L50763956,S293055216,,1
837,8453,species,Variable Hawk,Geranoaetus polyosoma,1,"Auto selected -11.89368, -76.65633",PE-LIM,31 Jul 2025,L50763956,S293055216,,1
838,23304,species,Black-chested Prinia,Prinia flavicans,5,Victoria Falls Sewerage Ponds,ZW-MN,31 Jul 2025,L8286505,S268450790,,1
839,9672,species,Southern Yellow-billed Hornbill,Tockus leucomelas,1,Victoria Falls Sewerage Ponds,ZW-MN,31 Jul 2025,L8286505,S268450790,,1
840,33817,species,Shiny Cowbird,Molothrus bonariensis,1,Plaza Principal de Chosica,PE-LIM,31 Jul 2025,L5296391,S293055213,,1
841,13203,species,Red-masked Parakeet,Psittacara erythrogenys,3,Plaza Principal de Chosica,PE-LIM,31 Jul 2025,L5296391,S293055213,N,1
842,2400,species,Eared Dove,Zenaida auriculata,5,Plaza Principal de Chosica,PE-LIM,31 Jul 2025,L5296391,S293055213,,1
843,7610,species,棕夜鹭,Nycticorax caledonicus,3,"Jalan Pantai Sembulan, 亚庇, 沙巴 (5.963, 116.063)",MY-12,30 Jul 2025,L50711431,S269368201,,1
844,35477,species,Saffron Finch,Sicalis flaveola,4,Parque Central de Miraflores,PE-LIM,30 Jul 2025,L880290,S293055212,N,1
845,33844,species,Scrub Blackbird,Dives warczewiczi,10,Parque Central de Miraflores,PE-LIM,30 Jul 2025,L880290,S293055212,,1
846,28095,species,Long-tailed Mockingbird,Mimus longicaudatus,3,Parque Central de Miraflores,PE-LIM,30 Jul 2025,L880290,S293055212,,1
847,16554,species,Southern Beardless Tyrannulet,Camptostoma obsoletum,2,Parque Central de Miraflores,PE-LIM,30 Jul 2025,L880290,S293055212,,1
848,5123,species,Amazilia Hummingbird,Amazilis amazilia,3,Parque Central de Miraflores,PE-LIM,30 Jul 2025,L880290,S293055212,,1
849,2388,species,West Peruvian Dove,Zenaida meloda,10,Parque Central de Miraflores,PE-LIM,30 Jul 2025,L880290,S293055212,,1
850,2285,species,Croaking Ground Dove,Columbina cruziana,3,Parque Central de Miraflores,PE-LIM,30 Jul 2025,L880290,S293055212,,1
851,24705,species,Pale-faced Bulbul,Pycnonotus leucops,3,"淡汶安, 沙巴 (5.815, 116.341)",MY-12,30 Jul 2025,L50705447,S269368224,,1
852,29368,species,Bornean Shortwing,Brachypteryx erythrogyna,2,"淡汶安, 沙巴 (5.815, 116.341)",MY-12,30 Jul 2025,L50705447,S269368270,,1
853,29143,species,Dayak Blue Flycatcher,Cyornis montanus,2,Mount Trusmadi--Trusmadi Hide 1,MY-12,30 Jul 2025,L38110002,S269368294,,1
854,24653,species,Bornean Bulbul,Rubigula montis,1,Mount Trusmadi--Trusmadi Hide 1,MY-12,30 Jul 2025,L38110002,S269368294,,1
855,13368,species,Bornean Banded Pitta,Hydrornis schwaneri,1,Mount Trusmadi--Trusmadi Hide 1,MY-12,30 Jul 2025,L38110002,S269368294,,1
856,19015,species,棕腹鵙鹛,Pteruthius rufiventer,1,片马镇至风雪丫口,CN-53,30 Jul 2025,L50703477,S268355764,,1
857,29571,species,Rufous-chested Flycatcher,Ficedula dumetoria,1,Mount Trusmadi--Trusmadi Hide 1,MY-12,30 Jul 2025,L38110002,S269368312,,1
858,29191,species,Crocker Jungle Flycatcher,Cyornis ruficrissa,3,Mount Trusmadi--Trusmadi Hide 1,MY-12,30 Jul 2025,L38110002,S269368312,,1
859,1528,species,Bulwer's Pheasant,Lophura bulweri,4,Mount Trusmadi--Trusmadi Hide 1,MY-12,30 Jul 2025,L38110002,S269368312,,1
860,1217,species,Red-breasted Partridge,Arborophila hyperythra,2,Mount Trusmadi--Trusmadi Hide 1,MY-12,30 Jul 2025,L38110002,S269368312,,1
861,1181,species,Crested Partridge,Rollulus rouloul,40,Mount Trusmadi--Trusmadi Hide 1,MY-12,30 Jul 2025,L38110002,S269368312,,1
863,32153,species,血雀,Carpodacus sipahi,1,片马镇附近,CN-53,29 Jul 2025,L50664118,S268355773,,1
864,1603,species,Bornean Peacock-Pheasant,Polyplectron schleiermacheri,2,Ulu Telupid Forest Reserve,MY-12,29 Jul 2025,L26159083,S269368332,,1
865,31105,species,Dusky Munia,Lonchura fuscans,8,IPS Telupid,MY-12,28 Jul 2025,L20715429,S269368348,,1
